,Year,Code,Entity,hSpendPerCap,pop,pocketHExp,lifeExp
0,1995,AGO,Angola,91.46362059999998,13945000.0,20.25608482,45.246
1,1995,ALB,Albania,196.53778549,3113000.0,74.03389519,72.205
2,1995,AND,Andorra,1380.96974291,64000.0,22.44228194,77.387
3,1995,ARE,United Arab Emirates,2066.4761756,2415000.0,14.93202001,73.194
4,1995,ARG,Argentina,646.08439673,34828000.0,27.97854978,72.65100000000001
5,1995,ARM,Armenia,101.52726448,3217000.0,66.23138507,68.938
6,1995,ATG,Antigua and Barbuda,611.42130572,69000.0,29.15047942,72.732
7,1995,AUS,Australia,1640.93480951,17993000.0,16.08864355,78.267
8,1995,AUT,Austria,2249.46831607,7990000.0,15.15492477,76.82300000000001
9,1995,AZE,Azerbaijan,138.65410533,7775000.0,66.35833854,65.256
10,1995,BDI,Burundi,32.54320045,5987000.0,52.03646044,46.758
11,1995,BEL,Belgium,1713.61625094,10186000.0,19.58801971,76.907
12,1995,BEN,Benin,47.83495731,5906000.0,54.94080491,55.203
13,1995,BFA,Burkina Faso,31.09321985,10090000.0,58.46582328,49.445
14,1995,BGD,Bangladesh,33.84762153,115170000.0,60.15975865,62.001999999999995
15,1995,BGR,Bulgaria,290.272253,8379000.0,26.03997136,70.932
16,1995,BHR,Bahrain,1504.59152707,564000.0,22.62092942,73.413
17,1995,BHS,Bahamas,1104.340244,280000.0,24.13793103,71.45100000000001
18,1995,BIH,Bosnia and Herzegovina,112.55353516,3829000.0,62.89560226,71.645
19,1995,BLR,Belarus,260.12697068,10078000.0,18.62671654,68.274
20,1995,BLZ,Belize,192.20406205,207000.0,30.38736923,69.439
21,1995,BOL,Bolivia,111.61513711,7622000.0,33.29778346,59.276
22,1995,BRA,Brazil,524.47851809,162020000.0,38.73962046,68.318
23,1995,BRB,Barbados,475.10547584,266000.0,24.29047358,75.852
24,1995,BRN,Brunei,1694.93340995,297000.0,22.24747666,71.465
25,1995,BTN,Bhutan,84.99506561,535000.0,33.22982794,56.636
26,1995,BWA,Botswana,271.24097484,1469000.0,18.04315005,54.41
27,1995,CAF,Central African Republic,22.73567414,3223000.0,58.08124417,46.53
28,1995,CAN,Canada,2076.42379435,29164000.0,15.98874955,78.152
29,1995,CHE,Switzerland,2572.81641878,6996000.0,33.09738461,78.53699999999999
30,1995,CHL,Chile,389.74824274,14381000.0,48.48925593,74.957
31,1995,CHN,China,64.34054232,1240920960.0,46.40008838,69.885
32,1995,CIV,Cote d'Ivoire,135.86672604,14200000.0,60.53799224,51.568999999999996
33,1995,CMR,Cameroon,61.59151072,13600000.0,71.89970251,51.553999999999995
34,1995,COD,Democratic Republic of Congo,17.09151559,41576000.0,77.60180183,49.111000000000004
35,1995,COG,Congo,108.70007956,2708000.0,40.04400472,52.583
36,1995,COL,Colombia,415.93041136,36421000.0,38.06465567,71.112
37,1995,COM,Comoros,47.94133691,475000.0,37.57710992,58.722
38,1995,CPV,Cape Verde,94.06137534,386000.0,18.40158802,66.22399999999999
39,1995,CRI,Costa Rica,399.57095001,3546000.0,20.60352277,76.579
40,1995,CUB,Cuba,343.88303927,10888000.0,9.77198697,75.41199999999999
41,1995,CYP,Cyprus,731.35443435,855000.0,63.26971407,77.312
42,1995,CZE,Czechia,897.5425316,10358000.0,9.11127562,73.336
43,1995,DEU,Germany,2279.9965003,81139000.0,9.96458605,76.623
44,1995,DJI,Djibouti,68.58518823,630000.0,39.1234598,57.065
45,1995,DMA,Dominica,304.92356345,71000.0,28.25407602,73.749
46,1995,DNK,Denmark,1875.16138489,5233000.0,16.29748554,75.62899999999999
47,1995,DOM,Dominican Republic,237.60964369,7819000.0,54.43320482,68.164
48,1995,DZA,Algeria,252.76942406,28758000.0,26.948524199999998,68.54
49,1995,ECU,Ecuador,191.45106056,11455000.0,32.55210719,70.972
50,1995,EGY,Egypt,181.00787946,62334000.0,47.91549381,66.779
51,1995,ERI,Eritrea,51.09138134,2204000.0,51.98752211,52.316
52,1995,ESP,Spain,1192.67691395,39787000.0,23.53770013,78.175
53,1995,EST,Estonia,396.93215947,1433000.0,10.234741099999999,68.66
54,1995,ETH,Ethiopia,12.40728922,57048000.0,46.50874174,49.303000000000004
55,1995,FIN,Finland,1480.08882908,5119000.0,22.64997205,76.472
56,1995,FJI,Fiji,137.8804669,775000.0,13.25235488,65.15
57,1995,FRA,France,2102.33687667,57802000.0,7.60353926,77.902
58,1995,FSM,Micronesia (country),212.53250453,108000.0,5.03211397,64.04899999999999
59,1995,GAB,Gabon,498.49849548,1085000.0,53.34449848,60.175
60,1995,GBR,United Kingdom,1349.74957198,57932000.0,10.90723955,76.694
61,1995,GEO,Georgia,121.81394775,4976000.0,94.78465883,69.718
62,1995,GHA,Ghana,74.4898744,17014000.0,30.45996336,57.528
63,1995,GIN,Guinea,26.91544636,7270000.0,56.94798231,51.744
64,1995,GMB,Gambia,34.38813252,1129000.0,36.49985191,53.888999999999996
65,1995,GNB,Guinea-Bissau,129.82506255,1089000.0,44.15621658,48.658
66,1995,GNQ,Equatorial Guinea,69.70950705,497000.0,27.83391914,51.184
67,1995,GRC,Greece,1266.53216041,10746000.0,43.44773791,77.777
68,1995,GRD,Grenada,378.77235022,100000.0,56.47178468,71.35600000000001
69,1995,GTM,Guatemala,160.74635226,10408000.0,55.43450857,65.09
70,1995,GUY,Guyana,167.76223066,761000.0,16.27934534,64.064
71,1995,HND,Honduras,130.18168966,5709000.0,41.4546048,68.87100000000001
72,1995,HRV,Croatia,548.80424121,4617000.0,13.54245836,73.727
73,1995,HTI,Haiti,59.65520671,7745000.0,45.53903346,55.82899999999999
74,1995,HUN,Hungary,658.55632919,10349000.0,16.03908484,70.02
75,1995,IDN,Indonesia,85.89906302,196934000.0,46.50598215,64.291
76,1995,IND,India,60.30681297,963923008.0,67.45426936,60.32
77,1995,IRL,Ireland,1192.6182615,3592000.0,15.34005666,75.642
78,1995,IRN,Iran,293.60710246,61443000.0,53.59432548,68.377
79,1995,ISL,Iceland,1909.6392524999999,268000.0,16.06807323,78.762
80,1995,ISR,Israel,1440.23266074,5271000.0,25.72795977,77.758
81,1995,ITA,Italy,1559.33449502,57174000.0,26.85948049,78.107
82,1995,JAM,Jamaica,261.43233339,2534000.0,28.84630643,74.133
83,1995,JOR,Jordan,450.65887569,4589000.0,23.82232602,70.885
84,1995,JPN,Japan,1533.51562077,126365000.0,14.02647129,79.935
85,1995,KAZ,Kazakhstan,270.11166849,15839000.0,35.52775436,63.937
86,1995,KEN,Kenya,68.31216992,27768000.0,42.06440401,53.486000000000004
87,1995,KGZ,Kyrgyzstan,73.33475754,4566000.0,45.15019843,66.036
88,1995,KHM,Cambodia,43.15394376,10656000.0,78.58280135,55.18899999999999
89,1995,KIR,Kiribati,96.50716722,78000.0,0.11563929,61.538999999999994
90,1995,KNA,Saint Kitts and Nevis,698.41309394,42000.0,43.24491799,69.19800000000001
91,1995,KOR,South Korea,492.98029463,45293000.0,53.12938704,73.918
92,1995,KWT,Kuwait,2164.37865043,1606000.0,16.24174703,72.764
93,1995,LAO,Laos,55.22100994,4846000.0,37.548880100000005,55.851000000000006
94,1995,LBN,Lebanon,1065.02365387,3528000.0,53.45737222,72.125
95,1995,LBY,Libya,611.42298291,4949000.0,53.79066401,69.965
96,1995,LCA,Saint Lucia,392.91378076,147000.0,49.11589118,72.32300000000001
97,1995,LKA,Sri Lanka,101.58003055,18243000.0,45.54476995,69.259
98,1995,LSO,Lesotho,79.75557118,1899000.0,42.14435441,55.782
99,1995,LTU,Lithuania,332.14874763,3627000.0,22.39115411,69.768
100,1995,LUX,Luxembourg,2188.85059838,408000.0,6.19240693,76.373
101,1995,LVA,Latvia,221.12250745,2508000.0,33.72569766,67.828
102,1995,MAR,Morocco,99.14630645,26994000.0,51.88644962,66.846
103,1995,MCO,Monaco,2388.67358607,31000.0,7.0,78.003
104,1995,MDA,Moldova,145.00566158,4341000.0,27.34640759,66.867
105,1995,MDG,Madagascar,41.55959896,13475000.0,49.56872085,54.61600000000001
106,1995,MDV,Maldives,154.96548296,254000.0,14.14067137,65.923
107,1995,MEX,Mexico,377.89974021,91663000.0,56.15454871,72.598
108,1995,MHL,Marshall Islands,785.45693763,50000.0,6.78000433,65.98
109,1995,MKD,North Macedonia,418.88184307,1983000.0,40.44512837,72.08
110,1995,MLI,Mali,43.9324028,9586000.0,47.7192025,46.573
111,1995,MLT,Malta,898.48321909,377000.0,28.4686098,78.154
112,1995,MMR,Myanmar,13.18729388,43902000.0,80.97804288,58.46
113,1995,MNE,Montenegro,441.13674812,620000.0,29.96632655,74.09899999999999
114,1995,MNG,Mongolia,97.50558722,2298000.0,11.59931898,61.211000000000006
115,1995,MOZ,Mozambique,18.04241166,15483000.0,13.14009924,47.123000000000005
116,1995,MRT,Mauritania,96.17765515,2314000.0,49.25573524,60.426
117,1995,MUS,Mauritius,238.10863682,1129000.0,33.59724363,70.339
118,1995,MWI,Malawi,22.13939492,9844000.0,29.36132469,45.846000000000004
119,1995,MYS,Malaysia,303.31057860000004,20488000.0,32.643967100000005,71.834
120,1995,NAM,Namibia,237.26941257,1628000.0,6.30422246,58.479
121,1995,NER,Niger,35.94455315,9490000.0,68.79522511,46.641000000000005
122,1995,NGA,Nigeria,88.96537265,107948000.0,72.08619038,45.854
123,1995,NIC,Nicaragua,140.10572472,4652000.0,35.06827627,67.344
124,1995,NLD,Netherlands,1800.39418623,15468000.0,9.6397587,77.528
125,1995,NOR,Norway,1864.71981731,4367000.0,15.21648747,77.783
126,1995,NPL,Nepal,52.38573283,21576000.0,69.56105164,58.6
127,1995,NRU,Nauru,1053.74799036,11000.0,3.75268612,58.236000000000004
128,1995,NZL,New Zealand,1242.34356467,3675000.0,16.15098177,76.98899999999999
129,1995,OMN,Oman,1012.97557239,2204000.0,10.16932623,69.77
131,1995,PAK,Pakistan,80.46213018,123777000.0,72.08514335,61.505
132,1995,PAN,Panama,498.49436786,2740000.0,26.94954128,74.092
133,1995,PER,Peru,200.84690071,24299000.0,39.71850677,68.903
134,1995,PHL,Philippines,99.58085928,69784000.0,50.01414669,68.23100000000001
135,1995,PLW,Palau,1305.99438109,17000.0,19.517067899999997,67.24600000000001
136,1995,PNG,Papua New Guinea,45.73429267,5187000.0,7.62088218,58.073
137,1995,POL,Poland,406.86543187,38459000.0,27.10928192,71.827
138,1995,PRT,Portugal,1017.32810756,10091000.0,23.91772303,75.39699999999999
139,1995,PRY,Paraguay,286.68421798,4777000.0,57.86874681,69.51100000000001
140,1995,QAT,Qatar,2106.00027912,513000.0,34.62881555,76.759
141,1995,ROU,Romania,183.47300792,22965000.0,25.45601253,69.52600000000001
142,1995,RUS,Russia,301.10656319,148227008.0,16.88725463,66.009
143,1995,RWA,Rwanda,20.72759145,5836000.0,25.39874879,31.037
144,1995,SAU,Saudi Arabia,755.28938344,18639000.0,34.2464499,71.09899999999999
145,1995,SDN,Sudan,63.353209400000004,24095000.0,74.39597048,56.708999999999996
146,1995,SEN,Senegal,50.90094584,8690000.0,64.18970729,57.403999999999996
147,1995,SGP,Singapore,972.14481843,3526000.0,48.83448036,76.821
148,1995,SLB,Solomon Islands,54.07047579999999,359000.0,4.0163188,65.55199999999999
149,1995,SLE,Sierra Leone,88.16260253,4304000.0,73.45191043,37.083
150,1995,SLV,El Salvador,267.31110503,5629000.0,60.72557157,67.277
151,1995,SMR,San Marino,2229.60843716,26000.0,12.73583475,80.408
152,1995,SRB,Serbia,246.30329734,9884000.0,29.44930346,71.84100000000001
153,1995,STP,Sao Tome and Principe,120.16740764,132000.0,45.45045697,58.795
154,1995,SUR,Suriname,489.13053067,442000.0,7.01694075,67.73100000000001
155,1995,SVK,Slovakia,505.17694943,5375000.0,11.48120326,72.137
156,1995,SVN,Slovenia,972.26574533,1991000.0,11.216757800000002,74.471
157,1995,SWE,Sweden,1745.09564282,8836000.0,13.33568315,78.743
158,1995,SWZ,Eswatini,182.37682076,927000.0,13.45875361,57.422
159,1995,SYC,Seychelles,537.09386471,77000.0,14.84037842,70.71
160,1995,SYR,Syria,167.90563025,14345000.0,60.31746032,71.961
161,1995,TCD,Chad,43.90132317,7010000.0,62.93906581,47.426
162,1995,TGO,Togo,38.43904212,4226000.0,51.78101485,54.757
163,1995,THA,Thailand,236.747696293326,59467000.0,42.585107646585996,70.191
164,1995,TJK,Tajikistan,28.29212317,5765000.0,57.47663551,58.497
165,1995,TKM,Turkmenistan,103.38494824,4208000.0,39.49664811,62.851000000000006
166,1995,TON,Tonga,128.61267991,96000.0,27.37944789,69.351
167,1995,TTO,Trinidad and Tobago,522.09786436,1254000.0,42.08037721,68.597
168,1995,TUN,Tunisia,279.10048297,9125000.0,40.53922253,71.517
169,1995,TUR,Turkey,180.16971719,58486000.0,29.67889908,66.96300000000001
170,1995,TUV,Tuvalu,170.67443928,9000.0,2.56628962,61.665
171,1995,TZA,Tanzania,37.40402808,29649000.0,45.59839753,49.287
172,1995,UGA,Uganda,45.70373496,20413000.0,45.95486277,43.824
173,1995,UKR,Ukraine,262.79939969,50904000.0,24.46275705,67.896
174,1995,URY,Uruguay,1060.04413154,3224000.0,16.15508885,73.62
175,1995,USA,United States,3788.30984177,265164000.0,14.43883111,76.062
176,1995,UZB,Uzbekistan,109.30752340000002,22791000.0,46.54536376,66.396
177,1995,VCT,Saint Vincent and the Grenadines,296.24480647,108000.0,43.77010832,70.745
178,1995,VEN,Venezuela,605.99677074,21931000.0,61.47888548,71.321
179,1995,VNM,Vietnam,73.93391547,74910000.0,62.85932169,71.923
180,1995,VUT,Vanuatu,54.16947534,168000.0,11.22638317,66.16199999999999
181,1995,WSM,Samoa,123.8513571,170000.0,22.3590188,67.249
182,1995,YEM,Yemen,124.7025598,14913000.0,64.71607653,58.817
183,1995,ZAF,South Africa,554.92681328,41436000.0,17.51659174,61.56100000000001
184,1995,ZMB,Zambia,73.03062,9097000.0,30.963383299999997,44.242
185,1996,AGO,Angola,60.22757641,14401000.0,21.07055968,45.35
186,1996,ALB,Albania,247.13767322,3099000.0,76.45072572,72.495
187,1996,AND,Andorra,1516.85322338,64000.0,21.21965649,77.618
188,1996,ARE,United Arab Emirates,1978.87988105,2539000.0,14.30435655,73.428
189,1996,ARG,Argentina,661.95018813,35246000.0,29.76190476,72.843
190,1996,ARM,Armenia,100.28470999,3168000.0,69.36737600000001,69.404
191,1996,ATG,Antigua and Barbuda,612.48490489,70000.0,31.06622836,72.977
192,1996,AUS,Australia,1742.66486464,18189000.0,16.95011388,78.508
193,1996,AUT,Austria,2325.04866265,8018000.0,15.532623000000001,77.101
194,1996,AZE,Azerbaijan,149.65636378,7856000.0,65.13845741,65.57300000000001
195,1996,BDI,Burundi,30.87109375,6060000.0,45.54472191,46.905
196,1996,BEL,Belgium,1808.7955605999998,10208000.0,18.86645963,77.101
197,1996,BEN,Benin,48.13154517,6094000.0,55.64530451,55.17
198,1996,BFA,Burkina Faso,35.77392433,10373000.0,58.83922742,49.556999999999995
199,1996,BGD,Bangladesh,32.4400828,117650000.0,62.69713441,62.798
200,1996,BGR,Bulgaria,240.96045347,8292000.0,30.39957197,70.937
201,1996,BHR,Bahrain,1517.7692057,579000.0,22.810810399999998,73.619
202,1996,BHS,Bahamas,1168.04525777,284000.0,24.07852564,71.589
203,1996,BIH,Bosnia and Herzegovina,229.65948765,3764000.0,53.01222133,72.307
204,1996,BLR,Belarus,252.72085059,10045000.0,14.76966084,67.904
205,1996,BLZ,Belize,164.43522417,214000.0,34.35497109,69.1
206,1996,BOL,Bolivia,144.32089302,7779000.0,27.78194865,59.922
207,1996,BRA,Brazil,553.52793846,164615008.0,41.00041713,68.695
208,1996,BRB,Barbados,477.02587584,267000.0,24.01019009,76.131
209,1996,BRN,Brunei,2175.11214451,305000.0,18.69018309,71.727
210,1996,BTN,Bhutan,143.99661305,541000.0,22.00762664,57.418
211,1996,BWA,Botswana,284.54445907,1505000.0,16.25490552,53.571999999999996
212,1996,CAF,Central African Republic,27.04578263,3308000.0,51.36484391,45.922
213,1996,CAN,Canada,2073.62744993,29458000.0,16.25963094,78.324
